ProductID,ProductName,Category,UnitPrice,CostPrice
P001,"Smart TV 55""",Electronics,12999,7800
P002,Wireless Headphones,Electronics,2499,1500
P003,"Laptop 15"" i5",Electronics,15999,9600
P004,Smartphone Pro,Electronics,18999,11400
P005,"Tablet 10""",Electronics,7999,4800
P006,Gaming Console,Electronics,9999,6000
P007,Digital Camera,Electronics,11499,6900
P008,Smart Watch,Electronics,5999,3600
P009,Bluetooth Speaker,Electronics,1499,900
P010,E-Reader,Electronics,3499,2100
P011,Air Fryer,Home Appliances,2999,1800
P012,Microwave Oven,Home Appliances,1899,1140
P013,Vacuum Cleaner,Home Appliances,4999,3000
P014,Coffee Maker,Home Appliances,1299,780
P015,Blender,Home Appliances,899,540
P016,Toaster,Home Appliances,599,360
P017,Electric Kettle,Home Appliances,499,300
P018,Rice Cooker,Home Appliances,1199,720
P019,Food Processor,Home Appliances,3499,2100
P020,Air Purifier,Home Appliances,5499,3300
P021,Yoga Mat,Lifestyle Goods,299,180
P022,Fitness Tracker,Lifestyle Goods,1999,1200
P023,Water Bottle,Lifestyle Goods,199,120
P024,Backpack,Lifestyle Goods,899,540
P025,Sunglasses,Lifestyle Goods,399,240
P026,Wall Clock,Lifestyle Goods,499,300
P027,Desk Lamp,Lifestyle Goods,699,420
P028,Throw Pillow Set,Lifestyle Goods,799,480
P029,Bath Towel Set,Lifestyle Goods,599,360
P030,Scented Candles,Lifestyle Goods,349,210
